# Official SEC N-PORT invstOrSec extract for SPWO accession 0000894189-26-018183 as-of 2026-04-30
# columns: name title cusip isin pctVal invCountry curCd currencyConditional assetCat issuerCat
Aldar Properties PJSC	Aldar Properties PJSC	N/A	AEA002001013	0.0922202873	AE		AED	EC	CORP
Brambles Ltd	Brambles Ltd	105105209	US1051052090	0.1146527670	AU	USD		EC	CORP
Stantec Inc	Stantec Inc	85472N109	CA85472N1096	0.0490449535	CA		CAD	EC	CORP
GSK PLC	GSK PLC	37733W204	US37733W2044	0.5492253290	GB	USD		EC	CORP
Halma PLC	Halma PLC	40637C308	US40637C3088	0.1160192005	GB	USD		EC	CORP
Hellenic Telecommunications Or	Hellenic Telecommunications Organization SA	423325307	US4233253073	0.0430352837	GR	USD		EC	CORP
Hoya Corp	Hoya Corp	443251103	US4432511032	0.3231085479	JP	USD		EC	CORP
Kingspan Group PLC	Kingspan Group PLC	496402108	US4964021087	0.0740008565	IE	USD		EC	CORP
Kone Oyj	Kone Oyj	50048H101	US50048H1014	0.1270795009	FI	USD		EC	CORP
PTT Exploration & Production P	PTT Exploration & Production PCL	N/A	TH0355A10Z04	0.0762199496	TH		THB	EC	CORP
Constellation Software Inc/Can	Constellation Software Inc/Canada	21037X100	CA21037X1006	0.1620301315	CA		CAD	EC	CORP
Li Ning Co Ltd	Li Ning Co Ltd	52989T102	US52989T1025	0.0684306352	CN	USD		EC	CORP
Obic Co Ltd	Obic Co Ltd	N/A	JP3173400007	0.0424038041	JP		JPY	EC	CORP
BYD ELECTRONIC	BYD Electronic International Co Ltd	N/A	HK0285041858	0.0299723885	CN		HKD	EC	CORP
Chandra Asri Pacific Tbk PT	Chandra Asri Pacific Tbk PT	N/A	ID1000090301	0.0463254330	ID		IDR	EC	CORP
Origin Energy Ltd	Origin Energy Ltd	N/A	AU000000ORG5	0.0755315444	AU		AUD	EC	CORP
Novatek Microelectronics Corp	Novatek Microelectronics Corp	N/A	TW0003034005	0.0911164071	TW		TWD	EC	CORP
Dian Swastatika Sentosa Tbk PT	Dian Swastatika Sentosa Tbk PT	N/A	ID1000113400	0.0411978990	ID		IDR	EC	CORP
Raia Drogasil SA	Raia Drogasil SA	N/A	BRRADLACNOR0	0.0663282666	BR		BRL	EC	CORP
Xero Ltd	Xero Ltd	N/A	NZXROE0001S2	0.0470549932	NZ		AUD	EC	CORP
Sigma Healthcare Ltd	Sigma Healthcare Ltd	N/A	AU000000SIG5	0.0596526579	AU		AUD	EC	CORP
King Yuan Electronics Co Ltd	King Yuan Electronics Co Ltd	N/A	TW0002449006	0.1247452867	TW		TWD	EC	CORP
Neste Oyj	Neste Oyj	64104Y106	US64104Y1064	0.0779574707	FI	USD		EC	CORP
Nestle SA	Nestle SA	641069406	US6410694060	1.3500927076	CH	USD		EC	CORP
New Oriental Education & Techn	New Oriental Education & Technology Group Inc	647581206	US6475812060	0.0869861748	CN	USD		EC	CORP
Foxconn Industrial Internet Co	Foxconn Industrial Internet Co Ltd	Y2620V100	CNE1000031P3	0.1233851577	CN		CNY	EC	CORP
CGI Inc	CGI Inc	12532H104	CA12532H1047	0.0667789386	CA		CAD	EC	CORP
Amadeus IT Group SA	Amadeus IT Group SA	02263T104	US02263T1043	0.1336781548	ES	USD		EC	CORP
H World Group Ltd	H World Group Ltd	44332N106	US44332N1063	0.1011784629	CN	USD		EC	CORP
Sanrio Co Ltd	Sanrio Co Ltd	N/A	JP3343200006	0.0310219405	JP		JPY	EC	CORP
Lite-On Technology Corp	Lite-On Technology Corp	N/A	TW0002301009	0.1340510832	TW		TWD	EC	CORP
Nokia Oyj	Nokia Oyj	654902204	US6549022043	0.3479644911	FI	USD		EC	CORP
Norsk Hydro ASA	Norsk Hydro ASA	656531605	US6565316055	0.0771520973	NO	USD		EC	CORP
Novo Nordisk A/S	Novo Nordisk A/S	670100205	US6701002056	0.6732824927	DK	USD		EC	CORP
Rio Tinto PLC	Rio Tinto PLC	767204100	US7672041008	0.5524628497	GB	USD		EC	CORP
Schneider Electric SE	Schneider Electric SE	80687P106	US80687P1066	0.8778356605	FR	USD		EC	CORP
Zhejiang Leapmotor Technology	Zhejiang Leapmotor Technology Co Ltd	N/A	CNE100005K77	0.0312365084	CN		HKD	EC	CORP
AddTech AB	AddTech AB	N/A	SE0014781795	0.0439346716	SE		SEK	EC	CORP
Advantech Co Ltd	Advantech Co Ltd	N/A	TW0002395001	0.0657753324	TW		TWD	EC	CORP
Grupo Aeroportuario del Centro	Grupo Aeroportuario del Centro Norte SAB de CV	P49530101	MX01OM000018	0.0407983484	MX		MXN	EC	CORP
Canadian Pacific Kansas City L	Canadian Pacific Kansas City Ltd	13646K108	CA13646K1084	0.4040865151	CA		CAD	EC	CORP
AtkinsRealis Group Inc	AtkinsRealis Group Inc	04764T104	CA04764T1049	0.0561780069	CA		CAD	EC	CORP
FUYAO GLASS	Fuyao Glass Industry Group Co Ltd	N/A	CNE100001TR7	0.0535249809	CN		HKD	EC	CORP
Shionogi & Co Ltd	Shionogi & Co Ltd	824667109	US8246671098	0.0829443069	JP	USD		EC	CORP
South32 Ltd	South32 Ltd	84473L105	US84473L1052	0.0688415054	AU	USD		EC	CORP
Alchip Technologies Ltd	Alchip Technologies Ltd	N/A	KYG022421088	0.1202751873	TW		TWD	EC	CORP
Bizlink Holding Inc	Bizlink Holding Inc	N/A	KYG114741062	0.1733095725	TW		TWD	EC	CORP
BYD Co Ltd	BYD Co Ltd	Y1023R120	CNE100001526	0.0735197784	CN		CNY	EC	CORP
Airports of Thailand PCL	Airports of Thailand PCL	N/A	TH0765010Z08	0.0783538530	TH		THB	EC	CORP
Allegro.eu SA	Allegro.eu SA	N/A	LU2237380790	0.0739386077	PL		PLN	EC	CORP
Cambricon Technologies Corp Lt	Cambricon Technologies Corp Ltd	N/A	CNE1000041R8	0.0962041714	CN		CNY	EC	CORP
ALI HEALTH	Alibaba Health Information Technology Ltd	N/A	BMG0171K1018	0.0376948685	HK		HKD	EC	CORP
Celestica Inc	Celestica Inc	15101Q207	CA15101Q2071	0.2391261434	CA		CAD	EC	CORP
Siemens Energy AG	Siemens Energy AG	82621A203	US82621A2033	0.8015787823	DE	USD		EC	CORP
Smith & Nephew PLC	Smith & Nephew PLC	83175M205	US83175M2052	0.0686351596	GB	USD		EC	CORP
Bid Corp Ltd	Bid Corp Ltd	N/A	ZAE000216537	0.0945487807	ZA		ZAR	EC	CORP
TSMC	Taiwan Semiconductor Manufacturing Co Ltd	874039100	US8740391003	19.4498354390	TW	USD		EC	CORP
Tenaris SA	Tenaris SA	88031M109	US88031M1099	0.0524567593	LU	USD		EC	CORP
UPM-Kymmene Oyj	UPM-Kymmene Oyj	915436208	US9154362084	0.0811598779	FI	USD		EC	CORP
SABIC Agri-Nutrients Co	SABIC Agri-Nutrients Co	N/A	SA0007879139	0.1049170909	SA		SAR	EC	CORP
Saudi Arabian Mining Co	Saudi Arabian Mining Co	N/A	SA123GA0ITH7	0.2711551662	SA		SAR	EC	CORP
Northam Platinum Holdings Ltd	Northam Platinum Holdings Ltd	N/A	ZAE000298253	0.0764634933	ZA		ZAR	EC	CORP
ADNOC Drilling Co PJSC	ADNOC Drilling Co PJSC	N/A	AEA007301012	0.0458926802	AE		AED	EC	CORP
LG Energy Solution Ltd	LG Energy Solution Ltd	N/A	KR7373220003	0.0635201061	KR		KRW	EC	CORP
Saudi Basic Industries Corp	Saudi Basic Industries Corp	N/A	SA0007879121	0.1673935324	SA		SAR	EC	CORP
Silergy Corp	Silergy Corp	N/A	KYG8190F1028	0.0523947286	CN		TWD	EC	CORP
Adnoc Gas PLC	Adnoc Gas PLC	N/A	AEE01195A234	0.0737954791	AE		AED	EC	CORP
NIO Inc	NIO Inc	N/A	KYG6525F1028	0.1344374669	CN		HKD	EC	CORP
Aena SME SA	Aena SME SA	N/A	ES0105046017	0.1021769063	ES		EUR	EC	CORP
Air Liquide SA	Air Liquide SA	009126202	US0091262024	0.6445098461	FR	USD		EC	CORP
Alibaba Group Holding Ltd	Alibaba Group Holding Ltd	01609W102	US01609W1027	3.6081138955	HK	USD		EC	CORP
Anhui Conch Cement Co Ltd	Anhui Conch Cement Co Ltd	035243104	US0352431045	0.0342968901	CN	USD		EC	CORP
Asics Corp	Asics Corp	04521N101	US04521N1019	0.1057224258	JP	USD		EC	CORP
Grupo Aeroportuario del Surest	Grupo Aeroportuario del Sureste SAB de CV	40051E202	US40051E2028	0.0588445395	MX	USD		EC	CORP
Infineon Technologies AG	Infineon Technologies AG	45662N103	US45662N1037	0.4487041597	DE	USD		EC	CORP
Infosys Ltd	Infosys Ltd	456788108	US4567881085	0.4999096580	IN	USD		EC	CORP
HD Hyundai Electric Co Ltd	HD Hyundai Electric Co Ltd	N/A	KR7267260008	0.0855366682	KR		KRW	EC	CORP
Canon Inc	Canon Inc	138006309	US1380063099	0.1186585979	JP	USD		EC	CORP
Capgemini SE	Capgemini SE	13961R100	US13961R1005	0.0961530243	FR	USD		EC	CORP
Cie Financiere Richemont SA	Cie Financiere Richemont SA	204319107	US2043191079	0.5259521379	CH	USD		EC	CORP
Canadian Natural Resources Ltd	Canadian Natural Resources Ltd	136385101	CA1363851017	0.5115062434	CA		CAD	EC	CORP
Fast Retailing Co Ltd	Fast Retailing Co Ltd	31188H101	US31188H1014	0.5071943442	JP	USD		EC	CORP
Great Wall Motor Co Ltd	Great Wall Motor Co Ltd	39137B109	US39137B1098	0.0432947199	CN	USD		EC	CORP
Intertek Group PLC	Intertek Group PLC	461130106	US4611301064	0.0514290578	GB	USD		EC	CORP
Legrand SA	Legrand SA	524671104	US5246711049	0.2430045970	FR	USD		EC	CORP
Meituan	Meituan	58533E103	US58533E1038	0.7096284942	CN	USD		EC	CORP
Realtek Semiconductor Corp	Realtek Semiconductor Corp	N/A	TW0002379005	0.1005013646	TW		TWD	EC	CORP
United Integrated Services Co	United Integrated Services Co Ltd	N/A	TW0002404001	0.0584575978	TW		TWD	EC	CORP
Vanguard International Semicon	Vanguard International Semiconductor Corp	N/A	TW0005347009	0.0558222922	TW		TWD	EC	CORP
Unimicron Technology Corp	Unimicron Technology Corp	N/A	TW0003037008	0.4172876775	TW		TWD	EC	CORP
CSPC Pharmaceutical Group Ltd	CSPC Pharmaceutical Group Ltd	N/A	HK1093012172	0.0993851898	CN		HKD	EC	CORP
Fuji Electric Co Ltd	Fuji Electric Co Ltd	N/A	JP3820000002	0.0644774714	JP		JPY	EC	CORP
SK hynix Inc	SK hynix Inc	N/A	KR7000660001	2.4055721970	KR		KRW	EC	CORP
Nitori Holdings Co Ltd	Nitori Holdings Co Ltd	65479L108	US65479L1089	0.0325697908	JP	USD		EC	CORP
Mitsubishi Heavy Industries Lt	Mitsubishi Heavy Industries Ltd	N/A	JP3900000005	0.5112149644	JP		JPY	EC	CORP
Novartis AG	Novartis AG	66987V109	US66987V1098	1.4559065312	CH	USD		EC	CORP
Roche Holding AG	Roche Holding AG	771195104	US7711951043	1.4769693130	CH	USD		EC	CORP
Sandoz Group AG	Sandoz Group AG	799926100	US7999261008	0.1795331176	CH	USD		EC	CORP
Siemens Healthineers AG	Siemens Healthineers AG	82622J104	US82622J1043	0.0611500472	DE	USD		EC	CORP
Southern Copper Corp	Southern Copper Corp	84265V105	US84265V1052	0.1643952713	US	USD		EC	CORP
SUNNY OPTICAL	Sunny Optical Technology Group Co Ltd	86745T105	US86745T1051	0.0636476436	CN	USD		EC	CORP
Techtronic Industries Co Ltd	Techtronic Industries Co Ltd	87873R101	US87873R1014	0.1025356610	HK	USD		EC	CORP
Terumo Corp	Terumo Corp	88156J105	US88156J1051	0.0975790385	JP	USD		EC	CORP
Unilever PLC	Unilever PLC	904767803	US9047678035	0.6579529873	GB	USD		EC	CORP
Vestas Wind Systems A/S	Vestas Wind Systems A/S	925458101	US9254581013	0.1621668274	DK	USD		EC	CORP
Wesfarmers Ltd	Wesfarmers Ltd	950840306	US9508403063	0.3111491802	AU	USD		EC	CORP
Etihad Etisalat Co	Etihad Etisalat Co	N/A	SA000A0DM9P2	0.0757496589	SA		SAR	EC	CORP
Metso Oyj	Metso Oyj	N/A	FI0009014575	0.0624326057	FI		EUR	EC	CORP
Yangzijiang Shipbuilding Holdi	Yangzijiang Shipbuilding Holdings Ltd	N/A	SG1U76934819	0.1120478546	CN		SGD	EC	CORP
Alinma Bank	Alinma Bank	N/A	SA122050HV19	0.1106748859	SA		SAR	EC	CORP
Midea Group Co Ltd	Midea Group Co Ltd	Y6S40V103	CNE100001QQ5	0.0757324196	CN		CNY	EC	CORP
Wheaton Precious Metals Corp	Wheaton Precious Metals Corp	962879102	CA9628791027	0.2952555236	CA		CAD	EC	CORP
WSP Global Inc	WSP Global Inc	92938W202	CA92938W2022	0.1091523046	CA		CAD	EC	CORP
Nongfu Spring Co Ltd	Nongfu Spring Co Ltd	N/A	CNE100004272	0.1259944505	CN		HKD	EC	CORP
Pop Mart International Group L	Pop Mart International Group Ltd	N/A	KYG7170M1033	0.1566518065	CN		HKD	EC	CORP
Trip.com Group Ltd	Trip.com Group Ltd	N/A	KYG9066F1019	0.3762547962	SG		HKD	EC	CORP
Thomson Reuters Corp	Thomson Reuters Corp	884903808	CA8849038085	0.0630638800	CA		CAD	EC	CORP
Midea Group Co Ltd	Midea Group Co Ltd	N/A	CNE100006M58	0.0587714200	CN		HKD	EC	CORP
Delta Electronics Thailand PCL	Delta Electronics Thailand PCL	N/A	TH0528A10Z06	0.5202784614	TH		THB	EC	CORP
CATL	Contemporary Amperex Technology Co Ltd	N/A	CNE100006WS8	0.0601300290	CN		HKD	EC	CORP
CAR Group Ltd	CAR Group Ltd	N/A	AU000000CAR3	0.0335379628	AU		AUD	EC	CORP
Mr Price Group Ltd	Mr Price Group Ltd	N/A	ZAE000200457	0.0279060442	ZA		ZAR	EC	CORP
Meitu Inc	Meitu Inc	N/A	KYG5966D1051	0.0185092924	CN		HKD	EC	CORP
Kerry Group PLC	Kerry Group PLC	492460100	US4924601002	0.0673662425	IE	USD		EC	CORP
STMicroelectronics NV	STMicroelectronics NV	N83574108	NL0000226223	0.1752309219	CH		EUR	EC	CORP
Roche Holding AG	Roche Holding AG	N/A	CH0012032113	0.0610670766	CH		CHF	EC	CORP
Recruit Holdings Co Ltd	Recruit Holdings Co Ltd	75629J101	US75629J1016	0.3755497610	JP	USD		EC	CORP
Sandvik AB	Sandvik AB	800212201	US8002122013	0.2331616754	SE	USD		EC	CORP
SAP SE	SAP SE	803054204	US8030542042	0.8922202105	DE	USD		EC	CORP
Bank AlBilad	Bank AlBilad	N/A	SA000A0D9HK3	0.0571660733	SA		SAR	EC	CORP
